contract_id,tower_id,tower_type,tower_height_ft,zone_type,latitude,longitude,city,state,ownership_type,landowner_type,lease_start_date,initial_term_end_date,max_lease_expiry,initial_term_years,renewal_terms,renewal_term_years,monthly_rent_usd,annual_rent_usd,escalation_pct,escalation_type,termination_notice_days,exclusive_use_clause,lease_status,divestiture_impacted,created_at
GL-1B81A016,CC-TWR-905819,Monopole,100,Rural,30.903616,-82.721082,Tampa,FL,Leased,Commercial Property Owner,2012-07-21,2037-07-15,2112-06-27,25,3,25,1248.37,14980.44,2.5,Fixed Annual,180,True,Active,False,2026-02-22 21:26:00
GL-D5B5BFEC,CC-TWR-887443,Guyed Tower,320,Rural,33.28029,-84.977821,Augusta,GA,Owned,Summit (Owned),2001-07-08,2026-07-02,2101-06-14,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-F1A714CE,CC-TWR-239816,Self-Supporting Lattice,330,Rural,41.66988,-87.514566,Fort Wayne,IN,Leased,Agricultural Land Trust,2012-11-17,2037-11-11,2112-10-24,25,3,25,1784.26,21411.12,3.0,Fixed Annual,150,True,Active,False,2026-02-22 21:26:00
GL-D5D8B50D,CC-TWR-567574,Self-Supporting Lattice,130,Highway Corridor,38.426741,-75.372581,Waldorf,MD,Leased,Federal Agency,2021-08-15,2046-08-09,2121-07-22,25,3,25,2407.17,28886.04,1.5,Fixed Annual,150,True,Pending Renewal,False,2026-02-22 21:26:00
GL-EDCC4D72,CC-TWR-399607,Self-Supporting Lattice,150,Urban,46.823792,-123.457617,Spokane,WA,Leased,County Government,2006-06-11,2031-06-05,2106-05-18,25,3,25,9197.7,110372.4,1.0,Fixed Annual,120,True,Active,False,2026-02-22 21:26:00
GL-DAB90649,CC-TWR-167348,Monopole,210,Industrial,33.469749,-82.174323,Athens,GA,Leased,Commercial Property Owner,2011-06-18,2036-06-11,2111-05-25,25,3,25,2164.81,25977.72,1.0,CPI-Based,120,True,Terminated,False,2026-02-22 21:26:00
GL-50343644,CC-TWR-902784,Monopole,260,Industrial,35.946062,-89.843744,Clarksville,TN,Owned,Summit (Owned),2010-08-01,2035-07-26,2110-07-08,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-1F163E0C,CC-TWR-611945,Rooftop,150,Urban,41.199473,-84.408755,Carmel,IN,Leased,County Government,2006-07-16,2031-07-10,2106-06-22,25,3,25,2717.69,32612.28,2.0,Fixed Annual,180,True,Active,False,2026-02-22 21:26:00
GL-A58E9E23,CC-TWR-660069,Monopole,80,Rural,45.678166,-117.134946,Gresham,OR,Owned,Summit (Owned),2010-10-19,2035-10-13,2110-09-25,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-1EAC441B,CC-TWR-443254,Monopole,140,Suburban,34.545187,-98.439062,Broken Arrow,OK,Leased,Commercial Property Owner,2012-06-11,2037-06-05,2112-05-18,25,3,25,3331.44,39977.28,2.5,Fixed Annual,150,True,Pending Termination,True,2026-02-22 21:26:00
GL-698EECC3,CC-TWR-154615,Stealth/Concealed,190,Rural,34.940614,-78.007806,Charlotte,NC,Leased,State DOT,2005-11-03,2030-10-28,2105-10-10,25,3,25,1515.6,18187.2,1.0,Fixed Annual,90,True,Active,False,2026-02-22 21:26:00
GL-772007DC,CC-TWR-596564,Monopole,290,Suburban,40.106678,-90.04582,Chicago,IL,Leased,County Government,2001-10-07,2026-10-01,2101-09-13,25,3,25,2502.1,30025.2,2.0,CPI-Based,150,True,Under Renegotiation,False,2026-02-22 21:26:00
GL-7EA634BD,CC-TWR-915573,Self-Supporting Lattice,340,Rural,38.963735,-76.126571,Waldorf,MD,Leased,Commercial Property Owner,2003-05-04,2028-04-27,2103-04-10,25,3,25,1252.29,15027.48,2.0,Fixed Annual,180,True,Active,False,2026-02-22 21:26:00
GL-3A8450B7,CC-TWR-757711,Stealth/Concealed,150,Urban,32.227989,-80.237542,Columbia,SC,Owned,Summit (Owned),2001-12-25,2026-12-19,2101-12-01,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-F997DA10,CC-TWR-488571,Self-Supporting Lattice,100,Suburban,37.041611,-86.001354,Louisville,KY,Leased,Municipality,2014-11-11,2039-11-05,2114-10-18,25,3,25,1235.43,14825.16,2.5,CPI-Based,180,True,Active,False,2026-02-22 21:26:00
GL-4495DD43,CC-TWR-841666,Monopole,120,Urban,44.813511,-82.856463,Warren,MI,Leased,Agricultural Land Trust,2011-03-24,2036-03-17,2111-02-28,25,3,25,6413.1,76957.2,2.0,CPI-Based,180,True,Active,False,2026-02-22 21:26:00
GL-BDA4119A,CC-TWR-971084,Stealth/Concealed,100,Suburban,42.610373,-82.741434,Lansing,MI,Owned,Summit (Owned),2006-08-08,2031-08-02,2106-07-15,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-9C0CC327,CC-TWR-322423,Stealth/Concealed,190,Urban,34.509528,-103.817922,Austin,TX,Leased,Federal Agency,2023-05-11,2048-05-04,2123-04-17,25,3,25,4597.44,55169.28,3.0,Fixed Annual,150,True,Active,False,2026-02-22 21:26:00
GL-471E0D71,CC-TWR-855053,Monopole,210,Industrial,35.480626,-104.972644,Fort Worth,TX,Owned,Summit (Owned),2013-09-25,2038-09-19,2113-09-01,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-F49EB3DD,CC-TWR-825391,Monopole,150,Suburban,36.27916,-87.448825,Louisville,KY,Leased,Commercial Property Owner,2007-11-19,2032-11-12,2107-10-26,25,3,25,2233.26,26799.12,3.0,Fixed Annual,150,True,Active,True,2026-02-22 21:26:00
GL-5A509748,CC-TWR-384076,Stealth/Concealed,170,Rural,31.653956,-85.891435,Tuscaloosa,AL,Leased,Federal Agency,2006-04-04,2031-03-29,2106-03-11,25,3,25,1437.67,17252.04,2.0,Fixed Annual,90,True,Active,False,2026-02-22 21:26:00
GL-DF34D0AF,CC-TWR-389930,Monopole,310,Urban,29.766164,-90.306977,Baton Rouge,LA,Leased,Church/Religious Org,2016-09-20,2041-09-14,2116-08-27,25,3,25,4622.49,55469.88,1.0,Fixed Annual,120,True,Active,False,2026-02-22 21:26:00
GL-3E4D7712,CC-TWR-660081,Guyed Tower,120,Rural,30.897208,-84.943407,Savannah,GA,Leased,Municipality,2006-01-02,2030-12-27,2105-12-09,25,3,25,1219.37,14632.44,1.5,CPI-Based,180,True,Pending Renewal,True,2026-02-22 21:26:00
GL-29050FCA,CC-TWR-561865,Monopole,180,Urban,35.722193,-97.183618,Oklahoma City,OK,Leased,Municipality,2003-01-09,2028-01-03,2102-12-16,25,3,25,9557.98,114695.76,2.5,Fixed Annual,90,True,Active,True,2026-02-22 21:26:00
GL-70709853,CC-TWR-156213,Stealth/Concealed,120,Rural,35.074082,-84.964434,Chattanooga,TN,Owned,Summit (Owned),2002-10-10,2027-10-04,2102-09-16,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,True,2026-02-22 21:26:00
GL-216AF947,CC-TWR-336650,Stealth/Concealed,320,Suburban,31.425271,-90.046296,Lafayette,LA,Leased,Church/Religious Org,2014-07-15,2039-07-09,2114-06-21,25,3,25,3743.81,44925.72,2.0,CPI-Based,180,True,Active,False,2026-02-22 21:26:00
GL-D14757FE,CC-TWR-204053,Self-Supporting Lattice,320,Urban,36.240921,-89.239347,Independence,MO,Leased,State DOT,2004-11-07,2029-11-01,2104-10-14,25,3,25,4484.85,53818.2,1.0,Fixed Annual,120,True,Active,False,2026-02-22 21:26:00
GL-00B81398,CC-TWR-572387,Self-Supporting Lattice,300,Rural,38.300259,-84.986621,Akron,OH,Leased,Agricultural Land Trust,2017-08-10,2042-08-04,2117-07-17,25,3,25,542.43,6509.16,2.0,CPI-Based,150,True,Active,False,2026-02-22 21:26:00
GL-DA43DE30,CC-TWR-755420,Self-Supporting Lattice,260,Industrial,41.23911,-116.12172,San Francisco,CA,Owned,Summit (Owned),2019-04-14,2044-04-07,2119-03-21,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-3BED1E3E,CC-TWR-422554,Monopole,270,Highway Corridor,42.285639,-122.83854,Salem,OR,Leased,Commercial Property Owner,2021-10-10,2046-10-04,2121-09-16,25,3,25,3037.04,36444.48,2.5,Fixed Annual,150,True,Terminated,False,2026-02-22 21:26:00
GL-43267600,CC-TWR-727086,Stealth/Concealed,90,Urban,35.079963,-80.497929,Winston-Salem,NC,Leased,State DOT,2011-12-11,2036-12-04,2111-11-17,25,3,25,7027.85,84334.2,1.0,Fixed Annual,90,True,Active,False,2026-02-22 21:26:00
GL-2AC33CDD,CC-TWR-901909,Self-Supporting Lattice,290,Suburban,46.522738,-96.834036,Bloomington,MN,Owned,Summit (Owned),2006-10-02,2031-09-26,2106-09-08,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-90D9C783,CC-TWR-713762,Monopole,210,Highway Corridor,46.580364,-91.092554,Kenosha,WI,Leased,School District,2018-08-03,2043-07-28,2118-07-10,25,3,25,3145.04,37740.48,2.5,Fixed Annual,150,True,Active,False,2026-02-22 21:26:00
GL-03C5D38A,CC-TWR-827369,Rooftop,230,Urban,48.146399,-94.361571,Minneapolis,MN,Owned,Summit (Owned),2007-11-13,2032-11-06,2107-10-20,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-443CEC9D,CC-TWR-910075,Self-Supporting Lattice,200,Suburban,34.523989,-122.840784,San Diego,CA,Leased,Private Individual,2014-01-22,2039-01-16,2113-12-29,25,3,25,3634.23,43610.76,2.5,CPI-Based,180,True,Pending Renewal,False,2026-02-22 21:26:00
GL-99FB524F,CC-TWR-755788,Monopole,220,Rural,38.808897,-87.974227,Joliet,IL,Leased,Agricultural Land Trust,2022-01-07,2047-01-01,2121-12-14,25,3,25,847.17,10166.04,1.5,CPI-Based,150,True,Under Renegotiation,False,2026-02-22 21:26:00
GL-F46F0C77,CC-TWR-738448,Self-Supporting Lattice,330,Rural,41.121426,-72.026853,Hartford,CT,Owned,Summit (Owned),2005-12-06,2030-11-30,2105-11-12,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,True,2026-02-22 21:26:00
GL-B27A76E1,CC-TWR-972565,Self-Supporting Lattice,120,Highway Corridor,32.307239,-84.530135,Atlanta,GA,Leased,Agricultural Land Trust,2013-12-10,2038-12-04,2113-11-16,25,3,25,3281.05,39372.6,2.0,CPI-Based,180,True,Active,True,2026-02-22 21:26:00
GL-B5A8EF88,CC-TWR-299869,Rooftop,270,Highway Corridor,47.370359,-122.987506,Spokane,WA,Owned,Summit (Owned),2014-12-05,2039-11-29,2114-11-11,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-52A85325,CC-TWR-861319,Rooftop,170,Rural,40.801518,-95.984608,Iowa City,IA,Leased,Federal Agency,2016-10-22,2041-10-16,2116-09-28,25,3,25,1136.53,13638.36,1.5,Fixed Annual,180,True,Active,True,2026-02-22 21:26:00
GL-BFBCBFB3,CC-TWR-495533,Self-Supporting Lattice,220,Suburban,46.99732,-118.659891,Tacoma,WA,Leased,Commercial Property Owner,2008-04-23,2033-04-17,2108-03-30,25,3,25,1868.66,22423.92,2.5,Fixed Annual,120,True,Pending Renewal,False,2026-02-22 21:26:00
GL-15D75A3C,CC-TWR-950823,Self-Supporting Lattice,200,Urban,29.468231,-82.063405,Orlando,FL,Owned,Summit (Owned),2010-11-26,2035-11-20,2110-11-02,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,True,2026-02-22 21:26:00
GL-CA0200F6,CC-TWR-205239,Self-Supporting Lattice,220,Rural,41.896061,-78.340026,Reading,PA,Leased,County Government,2001-09-15,2026-09-09,2101-08-22,25,3,25,519.95,6239.4,1.5,Fixed Annual,180,True,Active,False,2026-02-22 21:26:00
GL-A6AF3DCE,CC-TWR-753534,Monopole,300,Urban,39.815253,-121.349772,Sacramento,CA,Leased,School District,2010-11-03,2035-10-28,2110-10-10,25,3,25,8888.24,106658.88,3.0,Fixed Annual,180,True,Active,True,2026-02-22 21:26:00
GL-B9E68C0D,CC-TWR-171744,Guyed Tower,150,Urban,46.361915,-91.820505,Kenosha,WI,Leased,Municipality,2018-11-10,2043-11-04,2118-10-17,25,3,25,9980.69,119768.28,1.0,Fixed Annual,180,True,Active,False,2026-02-22 21:26:00
GL-175AADDA,CC-TWR-130353,Stealth/Concealed,90,Suburban,30.774714,-90.529994,New Orleans,LA,Leased,State DOT,2008-01-10,2033-01-03,2107-12-17,25,3,25,2203.7,26444.4,2.5,Fixed Annual,120,True,Pending Termination,False,2026-02-22 21:26:00
GL-074D01B7,CC-TWR-278240,Monopole,130,Rural,42.131856,-70.622442,Lowell,MA,Owned,Summit (Owned),2000-10-28,2025-10-22,2100-10-04,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-3A41CAAA,CC-TWR-367729,Monopole,290,Suburban,40.38345,-78.730113,Pittsburgh,PA,Owned,Summit (Owned),1998-08-10,2023-08-04,2098-07-16,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,True,2026-02-22 21:26:00
GL-EBC6FA3F,CC-TWR-823846,Monopole,160,Urban,38.196617,-102.265796,Lakewood,CO,Leased,State DOT,2012-05-07,2037-05-01,2112-04-13,25,3,25,9995.3,119943.6,2.5,Fixed Annual,90,True,Pending Renewal,False,2026-02-22 21:26:00
GL-E469EEEE,CC-TWR-833247,Monopole,170,Suburban,35.358959,-87.633021,Clarksville,TN,Leased,Tribal Authority,1998-11-13,2023-11-07,2098-10-19,25,3,25,1968.55,23622.6,3.0,Fixed Annual,90,True,Active,True,2026-02-22 21:26:00
GL-FA43788F,CC-TWR-913423,Monopole,330,Highway Corridor,34.164194,-85.291195,Mobile,AL,Leased,County Government,2005-10-26,2030-10-20,2105-10-02,25,3,25,2733.12,32797.44,1.5,Fixed Annual,150,True,Terminated,True,2026-02-22 21:26:00
GL-898891FC,CC-TWR-423939,Self-Supporting Lattice,330,Industrial,46.517019,-88.768297,Milwaukee,WI,Leased,Church/Religious Org,2012-01-19,2037-01-12,2111-12-26,25,3,25,1912.15,22945.8,1.5,Fixed Annual,90,True,Active,False,2026-02-22 21:26:00
GL-2F5C1FD1,CC-TWR-665610,Monopole,190,Suburban,32.05384,-113.339201,Scottsdale,AZ,Owned,Summit (Owned),2014-09-09,2039-09-03,2114-08-16,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-866F4296,CC-TWR-178957,Self-Supporting Lattice,120,Highway Corridor,34.021163,-86.595006,Huntsville,AL,Leased,Municipality,2022-04-28,2047-04-22,2122-04-04,25,3,25,3867.13,46405.56,2.5,Fixed Annual,150,True,Under Renegotiation,False,2026-02-22 21:26:00
GL-2740110D,CC-TWR-576877,Monopole,190,Urban,36.041756,-85.243994,Owensboro,KY,Owned,Summit (Owned),2019-12-22,2044-12-15,2119-11-28,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-42E2AAC5,CC-TWR-688678,Self-Supporting Lattice,180,Suburban,45.828861,-92.043625,St. Paul,MN,Owned,Summit (Owned),2017-04-21,2042-04-15,2117-03-28,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-3BD64C85,CC-TWR-616554,Monopole,110,Suburban,40.226734,-78.739515,Buffalo,NY,Owned,Summit (Owned),2001-04-18,2026-04-12,2101-03-25,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-E98B4BE6,CC-TWR-535037,Stealth/Concealed,280,Rural,45.453614,-86.227385,Lansing,MI,Owned,Summit (Owned),2001-08-20,2026-08-14,2101-07-27,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,True,2026-02-22 21:26:00
GL-B53996E9,CC-TWR-480303,Rooftop,110,Suburban,39.223479,-90.055549,Rockford,IL,Owned,Summit (Owned),2019-06-18,2044-06-11,2119-05-25,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
