invoice_id,erp_system,invoice_type,contract_ref,tower_ref,vendor_or_tenant,invoice_date,billing_period,invoiced_amount_usd,expected_amount_usd,payment_status,gl_account,cost_center,po_number,lease_status_at_billing,discrepancy_planted,notes
AP-INV-544871,Oracle EBS R12,AR,TL-603A472B,CC-TWR-278240,T-Mobile,2025-01-01,2025-01,4153.38,4153.38,Pending,4210-100,CC-NORTHEAST,PR-767420,Active,,
PO-INV-180450,SAP S/4HANA,AR,TL-DE180CF2,CC-TWR-755420,T-Mobile,2024-07-01,2024-07,4275.62,4275.62,Applied,4210-001,CC-WEST,PO-910876,Active,,
BILL-658528,Workday Financials,AR,TL-5B76B53B,CC-TWR-499974,T-Mobile,2025-03-01,2025-03,2895.82,2819.69,Received,4210-100,CC-MIDWEST,PO-421459,Active,over_escalation,
INV-961835,Workday Financials,AR,TL-8ED093B0,CC-TWR-653306,AT&T,2025-01-01,2025-01,3431.15,3431.15,Received,4210-050,CC-MIDWEST,REQ-655548,Active,,
AP-INV-938779,SAP ECC 6.0,AR,TL-E2C6ECE3,CC-TWR-398761,Verizon,2025-02-01,2025-02,3226.83,3226.83,Applied,4210-100,CC-SOUTHEAST,PO-804100,Active,,
PO-INV-462605,Oracle EBS R12,AR,TL-BF4765EF,CC-TWR-117711,AT&T,2024-10-01,2024-10,5826.63,5826.63,Cleared,4210-001,CC-SOUTHEAST,PR-447526,Active,,
PO-INV-475281,Oracle EBS R12,AR,TL-41BB5798,CC-TWR-895667,US Cellular,2024-10-01,2024-10,1440.06,1440.06,Received,4210-100,CC-NORTHEAST,PO-785845,Active,,
AP-INV-743030,SAP S/4HANA,AP,GL-540EBA17,CC-TWR-936433,County Government,2025-03-01,2025-03,1812.65,1812.65,Paid,6110-100,CC-SOUTHWEST,REQ-778016,Active,,
BILL-865478,Workday Financials,AR,TL-B5FF6295,CC-TWR-105919,AT&T,2024-06-01,2024-06,5095.6,5095.6,Cleared,4210-100,CC-SOUTHEAST,PR-509957,Active,,
INV-743402,Oracle EBS R12,AR,TL-97C476CC,CC-TWR-825309,AT&T,2024-11-01,2024-11,3508.49,3508.49,Received,4210-050,CC-SOUTHEAST,REQ-497999,Pending Renewal,,
BILL-989740,Workday Financials,AR,TL-04335DB6,CC-TWR-125755,T-Mobile,2024-05-01,2024-05,4548.05,4548.05,Applied,4210-100,CC-NORTHEAST,PO-451311,Active,,
AP-INV-432615,Workday Financials,AR,TL-5B07BF38,CC-TWR-130353,AT&T,2024-04-01,2024-04,5994.11,5994.11,Received,4210-100,CC-SOUTHEAST,PO-436744,Active,,
SI-801869,SAP S/4HANA,AR,TL-44B59CC8,CC-TWR-412856,Verizon,2025-01-01,2025-01,3768.35,3768.35,Cleared,4210-100,CC-NORTHEAST,REQ-892890,Active,,
SI-167083,Workday Financials,AR,TL-CC760134,CC-TWR-611945,Verizon,2024-07-01,2024-07,5090.78,5090.78,Received,4210-001,CC-MIDWEST,PO-715254,Active,,
PO-INV-684052,Oracle Cloud ERP,AR,TL-8F3D1AC8,CC-TWR-653306,AT&T,2025-01-01,2025-01,3370.58,3370.58,Received,4210-050,CC-MIDWEST,REQ-444873,Pending Renewal,,
AP-INV-486684,SAP S/4HANA,AR,TL-409F897A,CC-TWR-575435,AT&T,2024-10-01,2024-10,5392.0,5392.0,Applied,4210-050,CC-SOUTHWEST,PR-933313,Active,,
BILL-524272,Oracle EBS R12,AR,TL-35292FB4,CC-TWR-767830,AT&T,2024-08-01,2024-08,2696.58,2696.58,Pending,4210-100,CC-MIDWEST,REQ-635283,Active,,
PO-INV-555837,SAP S/4HANA,AR,TL-F77A2AC3,CC-TWR-786406,AT&T,2025-02-01,2025-02,4980.6,4980.6,Applied,4210-050,CC-SOUTHEAST,PO-682993,Active,,
SI-985758,Oracle Cloud ERP,AR,TL-BB32AD7A,CC-TWR-637179,Verizon,2024-07-01,2024-07,6300.19,6300.19,Received,4210-050,CC-NORTHEAST,REQ-832272,Terminated,,
SI-616946,SAP ECC 6.0,AR,TL-DE22B43B,CC-TWR-902784,Verizon,2024-04-01,2024-04,5443.53,5443.53,Received,4210-050,CC-SOUTHEAST,REQ-552874,Active,,
AP-INV-373327,SAP ECC 6.0,AR,TL-58A975BC,CC-TWR-988319,T-Mobile,2024-06-01,2024-06,5027.53,5027.53,Received,4210-050,CC-WEST,PO-733247,Active,,
BILL-212482,Workday Financials,AR,TL-B9764970,CC-TWR-426711,T-Mobile,2024-08-01,2024-08,3469.95,3469.95,Received,4210-050,CC-NORTHEAST,PR-728662,Active,,
AP-INV-581545,Workday Financials,AR,TL-C6FFE255,CC-TWR-136415,AT&T,2024-09-01,2024-09,6053.86,6053.86,Applied,4210-050,CC-NORTHEAST,PR-603856,Active,,
SI-423762,SAP S/4HANA,AR,TL-478A9D4F,CC-TWR-711046,Verizon,2024-08-01,2024-08,5814.58,5814.58,Received,4210-001,CC-SOUTHEAST,PO-609121,Active,,
BILL-767176,Oracle Cloud ERP,AP,GL-4BD472F3,CC-TWR-829066,Agricultural Land Trust,2024-10-01,2024-10,6062.71,6062.71,Paid,6110-100,CC-WEST,PR-440028,Under Renegotiation,,
BILL-697158,Workday Financials,AR,TL-1CCCEED2,CC-TWR-584714,AT&T,2025-01-01,2025-01,2721.75,2721.75,Received,4210-100,CC-MIDWEST,PO-735056,Active,,
INV-492456,Oracle Cloud ERP,AR,TL-E8855FE9,CC-TWR-132653,AT&T,2024-10-01,2024-10,4005.43,4005.43,Received,4210-100,CC-SOUTHWEST,REQ-862790,Active,,
SI-452759,SAP ECC 6.0,AR,TL-54927E95,CC-TWR-694916,AT&T,2024-10-01,2024-10,2920.71,2920.71,Received,4210-100,CC-NORTHEAST,PR-922075,Pending Renewal,,
AP-INV-234988,Oracle EBS R12,AR,TL-49D6232D,CC-TWR-628689,AT&T,2024-10-01,2024-10,4394.09,4517.04,Applied,4210-100,CC-NORTHEAST,PO-767616,Active,amount_mismatch,
BILL-998175,Oracle Cloud ERP,AR,TL-9A4A2A49,CC-TWR-924040,AT&T,2024-12-01,2024-12,3877.02,3877.02,Received,4210-100,CC-MIDWEST,PR-703767,Active,,
AP-INV-246983,SAP S/4HANA,AR,TL-6DE8A313,CC-TWR-472358,AT&T,2025-01-01,2025-01,6004.99,6004.99,Received,4210-100,CC-MIDWEST,PO-564398,Active,,
PO-INV-103528,Workday Financials,AP,GL-6F51FC21,CC-TWR-226882,Tribal Authority,2024-06-01,2024-06,952.43,952.43,Cleared,6110-002,CC-MIDWEST,REQ-434083,Pending Renewal,,
BILL-105262,Oracle EBS R12,AP,GL-50998BE7,CC-TWR-619373,Federal Agency,2024-10-01,2024-10,897.63,897.63,Pending,6110-100,CC-SOUTHEAST,PR-566373,Active,,
AP-INV-563392,Oracle EBS R12,AP,GL-38C10DE8,CC-TWR-121322,Private Individual,2024-09-01,2024-09,6850.55,6850.55,Disputed,6110-002,CC-MIDWEST,PR-777264,Terminated,,
AP-INV-843555,SAP S/4HANA,AR,TL-2907DDC2,CC-TWR-865470,Verizon,2024-09-01,2024-09,5238.51,5238.51,Applied,4210-050,CC-WEST,PR-990413,Pending Renewal,,
AP-INV-106651,Workday Financials,AP,GL-B4AC723A,CC-TWR-631958,County Government,2024-10-01,2024-10,2629.9,2629.9,Paid,6110-002,CC-MIDWEST,REQ-892177,Active,,
AP-INV-210209,Workday Financials,AR,TL-DB7352F8,CC-TWR-906325,AT&T,2024-08-01,2024-08,5017.43,5017.43,Pending,4210-050,CC-MIDWEST,REQ-624250,Active,,
SI-772873,SAP S/4HANA,AP,GL-AC798E28,CC-TWR-483713,Municipality,2024-11-01,2024-11,3236.19,3236.19,Paid,6110-100,CC-NORTHEAST,PO-430269,Active,,
SI-411417,SAP S/4HANA,AR,TL-4D6C337A,CC-TWR-577079,T-Mobile,2024-09-01,2024-09,4757.85,4757.85,Pending,4210-050,CC-SOUTHEAST,REQ-432985,Active,,
INV-928216,SAP ECC 6.0,AR,TL-E0BFC17E,CC-TWR-755420,Verizon,2024-05-01,2024-05,3419.36,3419.36,Received,4210-001,CC-WEST,REQ-679068,Amendment Pending,,
INV-776362,Oracle EBS R12,AR,TL-4D96AFA7,CC-TWR-846247,T-Mobile,2024-11-01,2024-11,3818.62,3818.62,Pending,4210-050,CC-SOUTHEAST,PR-861697,Active,,
BILL-101449,Oracle Cloud ERP,AR,TL-13A8994E,CC-TWR-959972,AT&T,2024-09-01,2024-09,3821.38,3821.38,Cleared,4210-050,CC-SOUTHEAST,REQ-889579,Active,duplicate,
AP-INV-528136,SAP ECC 6.0,AR,TL-2B56F2DB,CC-TWR-784733,Verizon,2024-09-01,2024-09,5722.79,5722.79,Cleared,4210-001,CC-WEST,REQ-462718,Active,,
PO-INV-836442,SAP ECC 6.0,AR,TL-7CDE2C7F,CC-TWR-802448,T-Mobile,2025-01-01,2025-01,2758.63,2758.63,Received,4210-100,CC-MIDWEST,PO-684121,Active,,
BILL-665647,Oracle EBS R12,AR,TL-95298213,CC-TWR-497562,US Cellular,2025-03-01,2025-03,2695.17,2695.17,Applied,4210-100,CC-MIDWEST,REQ-501953,Active,,
BILL-735085,SAP S/4HANA,AR,TL-8A0FAF83,CC-TWR-810859,T-Mobile,2024-08-01,2024-08,2354.6,2354.6,Cleared,4210-100,CC-WEST,PO-878211,Active,,
INV-610262,SAP S/4HANA,AP,GL-F44C9A3F,CC-TWR-423232,School District,2024-06-01,2024-06,1842.26,1842.26,Paid,6110-001,CC-MIDWEST,PO-751566,Active,,
INV-644982,Oracle EBS R12,AR,TL-603A472B,CC-TWR-278240,T-Mobile,2025-03-01,2025-03,4153.38,4153.38,Pending,4210-100,CC-NORTHEAST,REQ-631072,Active,,
INV-482250,SAP S/4HANA,AP,GL-ABC9AE6F,CC-TWR-118632,Tribal Authority,2024-11-01,2024-11,3965.64,3965.64,Cleared,6110-002,CC-SOUTHWEST,REQ-582014,Active,,
AP-INV-413466,Oracle Cloud ERP,AR,TL-16DAE7E9,CC-TWR-324993,AT&T,2024-05-01,2024-05,6425.85,6425.85,Received,4210-050,CC-NORTHEAST,REQ-428892,Active,,
SI-636998,Oracle EBS R12,AP,GL-75897628,CC-TWR-986593,Church/Religious Org,2025-02-01,2025-02,677.5,677.5,Paid,6110-100,CC-MIDWEST,PO-517743,Active,,
PO-INV-980387,Oracle EBS R12,AP,GL-CB272B00,CC-TWR-416503,Federal Agency,2024-09-01,2024-09,4258.78,4258.78,Pending,6110-100,CC-NORTHEAST,REQ-606824,Active,,
SI-911655,SAP S/4HANA,AR,TL-8334C3C5,CC-TWR-501936,T-Mobile,2024-08-01,2024-08,4276.73,4276.73,Applied,4210-001,CC-MIDWEST,REQ-856839,Active,,
SI-106266,Workday Financials,AR,TL-88026EDA,CC-TWR-572387,AT&T,2024-10-01,2024-10,3302.11,3302.11,Cleared,4210-100,CC-MIDWEST,PR-890182,Active,,
PO-INV-878495,Workday Financials,AR,TL-F7ED6E10,CC-TWR-251275,US Cellular,2024-05-01,2024-05,1727.56,1727.56,Received,4210-100,CC-SOUTHEAST,REQ-452871,Pending Renewal,,
SI-298442,Oracle Cloud ERP,AP,GL-C2D64E45,CC-TWR-358494,State DOT,2024-05-01,2024-05,11426.45,11426.45,Paid,6110-002,CC-SOUTHWEST,PR-689861,Pending Termination,billing_terminated,
BILL-543975,SAP S/4HANA,AR,TL-890D877C,CC-TWR-810859,T-Mobile,2025-03-01,2025-03,4272.21,4272.21,Applied,4210-050,CC-WEST,PR-706237,Active,,
BILL-439463,SAP ECC 6.0,AP,GL-61728CC9,CC-TWR-741079,Municipality,2024-12-01,2024-12,1878.2,1878.2,Paid,6110-002,CC-SOUTHEAST,REQ-637545,Active,,
PO-INV-783043,SAP S/4HANA,AP,GL-1F222279,CC-TWR-437237,Church/Religious Org,2024-10-01,2024-10,4022.35,3772.56,Paid,6110-001,CC-SOUTHEAST,REQ-636801,Active,amount_mismatch,
AP-INV-972710,Oracle Cloud ERP,AR,TL-119E633A,CC-TWR-827369,T-Mobile,2024-12-01,2024-12,4125.29,4510.77,Received,4210-100,CC-MIDWEST,PR-912572,Active,amount_mismatch,
BILL-187953,SAP ECC 6.0,AP,GL-00A17D86,CC-TWR-647945,Municipality,2024-10-01,2024-10,5479.08,5479.08,Pending,6110-002,CC-NORTHEAST,PR-856500,Pending Renewal,,
SI-802457,SAP ECC 6.0,AR,TL-60A97916,CC-TWR-688678,US Cellular,2024-07-01,2024-07,2487.43,2487.43,Applied,4210-050,CC-MIDWEST,PR-982630,Active,,
SI-651520,SAP S/4HANA,AR,TL-20EA1AF9,CC-TWR-778636,T-Mobile,2025-01-01,2025-01,3290.88,3290.88,Received,4210-050,CC-SOUTHWEST,PR-956204,Active,,
PO-INV-594425,Oracle EBS R12,AR,TL-23DCBB04,CC-TWR-992819,T-Mobile,2024-06-01,2024-06,4710.55,4710.55,Applied,4210-100,CC-SOUTHEAST,REQ-829462,Active,,
INV-904232,Oracle Cloud ERP,AR,TL-28D34747,CC-TWR-460745,Verizon,2024-11-01,2024-11,9054.82,9054.82,Pending,4210-050,CC-SOUTHEAST,PO-916120,Active,,
AP-INV-370290,SAP ECC 6.0,AR,TL-98B9A3F9,CC-TWR-841521,T-Mobile,2025-03-01,2025-03,4524.23,4524.23,Applied,4210-001,CC-MIDWEST,PO-718657,Active,,
PO-INV-359912,Oracle EBS R12,AR,TL-BAB74B62,CC-TWR-825309,T-Mobile,2024-08-01,2024-08,2507.41,2507.41,Received,4210-100,CC-SOUTHEAST,REQ-434201,Active,,
INV-267692,SAP S/4HANA,AR,TL-ABF5E177,CC-TWR-782141,DISH Wireless,2024-09-01,2024-09,4301.84,4301.84,Disputed,4210-100,CC-MIDWEST,PO-645566,Suspended,billing_suspended,
AP-INV-748707,SAP ECC 6.0,AR,TL-B6034CFD,CC-TWR-691380,T-Mobile,2024-09-01,2024-09,3646.37,3646.37,Received,4210-050,CC-NORTHEAST,PR-976329,Active,,
INV-568566,SAP ECC 6.0,AP,GL-9D51A8AF,CC-TWR-238353,Private Individual,2024-06-01,2024-06,2346.34,2346.34,Paid,6110-002,CC-NORTHEAST,PO-831838,Active,,
AP-INV-589308,Oracle EBS R12,AR,TL-3D9C302F,CC-TWR-611945,CSpire,2024-10-01,2024-10,4001.95,4001.95,Received,4210-050,CC-MIDWEST,PR-732068,Pending Renewal,carrier_name,
PO-INV-417375,Oracle EBS R12,AP,GL-DF34D0AF,CC-TWR-389930,Church/Religious Org,2024-07-01,2024-07,5005.49,5005.49,Paid,6110-002,CC-SOUTHEAST,REQ-735474,Active,,
INV-873004,Workday Financials,AP,GL-E469EEEE,CC-TWR-833247,Tribal Authority,2024-04-01,2024-04,4245.36,4245.36,Paid,6110-001,CC-SOUTHEAST,REQ-538542,Active,,
AP-INV-309640,Oracle Cloud ERP,AR,TL-600C2427,CC-TWR-986438,Verizon,2024-05-01,2024-05,5092.64,5092.64,Pending,4210-050,CC-MIDWEST,PR-542664,Active,,
BILL-964990,Oracle EBS R12,AR,TL-906F9E62,CC-TWR-466375,T-Mobile,2024-12-01,2024-12,2644.72,2644.72,Received,4210-001,CC-MIDWEST,REQ-800514,Amendment Pending,,
INV-122537,Oracle EBS R12,AR,TL-603A472B,CC-TWR-278240,T-Mobile,2024-05-01,2024-05,4153.38,4153.38,Received,4210-100,CC-NORTHEAST,PO-526595,Active,,
AP-INV-419989,Oracle EBS R12,AR,TL-BD6062AD,CC-TWR-234443,DISH Wireless,2024-06-01,2024-06,3737.32,3737.32,In Collections,4210-001,CC-MIDWEST,PR-845642,Suspended,billing_suspended,
AP-INV-141926,SAP S/4HANA,AR,TL-D3969A98,CC-TWR-193035,T-Mobile,2024-10-01,2024-10,4105.34,4105.34,Received,4210-100,CC-SOUTHEAST,PO-862215,Active,duplicate,
SI-147220,Oracle EBS R12,AR,TL-6FBBF311,CC-TWR-172187,T-Mobile,2024-12-01,2024-12,4385.3,4385.3,Received,4210-050,CC-SOUTHEAST,REQ-513267,Active,,
BILL-410333,Oracle EBS R12,AR,TL-B35151B6,CC-TWR-622230,T-Mobile,2024-05-01,2024-05,4753.85,4753.85,Cleared,4210-100,CC-SOUTHEAST,PO-994777,Active,,
PO-INV-666030,SAP S/4HANA,AR,TL-7DA7B0ED,CC-TWR-478638,DISH Wireless,2024-08-01,2024-08,5278.16,5278.16,Past Due,4210-100,CC-WEST,PO-743854,Suspended,billing_suspended,
BILL-575634,Oracle Cloud ERP,AR,TL-119E633A,CC-TWR-827369,T-Mobile,2025-02-01,2025-02,4842.67,4510.77,Received,4210-100,CC-MIDWEST,PR-709277,Active,amount_mismatch,
SI-810332,Workday Financials,AR,TL-86B8DF66,CC-TWR-961957,Verizon,2025-02-01,2025-02,6397.53,6397.53,Received,4210-001,CC-SOUTHWEST,PO-418261,Active,,
SI-751794,Workday Financials,AR,TL-5A29359B,CC-TWR-753534,T-Mobile,2024-07-01,2024-07,4695.0,4695.0,Cleared,4210-050,CC-WEST,REQ-737462,Terminated,,
PO-INV-342482,SAP ECC 6.0,AP,GL-4D3E5110,CC-TWR-701253,School District,2024-04-01,2024-04,2774.21,2774.21,Paid,6110-002,CC-NORTHEAST,PR-583055,Active,,
PO-INV-921789,Oracle EBS R12,AR,TL-F2290936,CC-TWR-823255,DISH Wireless,2024-07-01,2024-07,2590.12,2590.12,Past Due,4210-100,CC-SOUTHEAST,REQ-462120,Suspended,billing_suspended,
PO-INV-667620,SAP ECC 6.0,AP,GL-1BE6B853,CC-TWR-880746,Church/Religious Org,2024-10-01,2024-10,4513.28,4513.28,Pending,6110-002,CC-MIDWEST,PO-772476,Active,,
SI-941982,Workday Financials,AR,TL-36C0CB5B,CC-TWR-855053,AT&T,2024-04-01,2024-04,4593.23,4593.23,Received,4210-001,CC-SOUTHWEST,REQ-984306,Amendment Pending,,
INV-734312,SAP ECC 6.0,AR,TL-654371E0,CC-TWR-460745,Verizon,2024-05-01,2024-05,6882.7,6695.24,Received,4210-100,CC-SOUTHEAST,PO-751872,Active,over_escalation,
BILL-327043,Workday Financials,AR,TL-77F51644,CC-TWR-283188,Verizon,2024-06-01,2024-06,4188.74,4188.74,Received,4210-001,CC-NORTHEAST,PR-436056,Active,,
SI-692728,Workday Financials,AR,TL-7192BA22,CC-TWR-691380,Verizon,2025-03-01,2025-03,4054.76,4054.76,Applied,4210-001,CC-NORTHEAST,PR-720020,Active,,
INV-371461,SAP ECC 6.0,AR,TL-BF1C8B62,CC-TWR-561865,C Spire,2025-01-01,2025-01,1771.87,1771.87,Received,4210-100,CC-SOUTHWEST,PR-543712,Active,,
AP-INV-894593,Oracle Cloud ERP,AR,TL-63B44842,CC-TWR-776604,Verizon,2025-02-01,2025-02,4253.6,4253.6,Received,4210-001,CC-MIDWEST,REQ-556409,Pending Renewal,,
PO-INV-866644,SAP ECC 6.0,AR,TL-CADAC36B,CC-TWR-421549,Verizon,2024-09-01,2024-09,5694.15,5694.15,Pending,4210-050,CC-SOUTHWEST,PO-763684,Amendment Pending,,
INV-300873,SAP S/4HANA,AR,TL-CA2D713B,CC-TWR-749342,C Spire,2024-06-01,2024-06,1384.28,1384.28,Received,4210-100,CC-MIDWEST,PR-476119,Active,,
SI-907902,SAP ECC 6.0,AR,TL-8D07E0BF,CC-TWR-781113,AT&T,2025-02-01,2025-02,4327.55,4327.55,Received,4210-100,CC-MIDWEST,REQ-784457,Active,,
AP-INV-792659,Oracle EBS R12,AR,TL-A821FD87,CC-TWR-416822,US Cellular,2024-10-01,2024-10,1754.01,2204.73,Received,4210-050,CC-SOUTHWEST,PO-511320,Active,missed_escalation,
BILL-741058,Oracle EBS R12,AR,TL-C70594F2,CC-TWR-750810,US Cellular,2024-09-01,2024-09,2360.41,3636.01,Pending,4210-100,CC-SOUTHEAST,PR-641146,Active,missed_escalation,
BILL-225530,Oracle Cloud ERP,AR,TL-7C07D93D,CC-TWR-571404,US Cellular,2024-07-01,2024-07,2380.75,2380.75,Applied,4210-100,CC-NORTHEAST,REQ-811718,Active,,
SI-157889,SAP ECC 6.0,AR,TL-00C17C4E,CC-TWR-151328,T-Mobile,2024-09-01,2024-09,2736.8,2736.8,Received,4210-001,CC-WEST,PR-659007,Active,,
INV-793625,SAP S/4HANA,AR,TL-BA0D9986,CC-TWR-251275,T-Mobile,2024-05-01,2024-05,2899.91,2899.91,Applied,4210-001,CC-SOUTHEAST,REQ-699505,Active,,
INV-185147,SAP ECC 6.0,AP,GL-F49EB3DD,CC-TWR-825391,Commercial Property Owner,2024-08-01,2024-08,3691.24,3691.24,Paid,6110-100,CC-SOUTHEAST,REQ-654276,Active,,
INV-120682,Oracle EBS R12,AR,TL-FA46574C,CC-TWR-755420,AT&T,2024-08-01,2024-08,3825.89,3825.89,Pending,4210-100,CC-WEST,REQ-978985,Active,,
PO-INV-357251,SAP ECC 6.0,AP,GL-1691F049,CC-TWR-996840,Agricultural Land Trust,2024-04-01,2024-04,2799.87,2799.87,Cleared,6110-001,CC-SOUTHEAST,PR-466177,Active,,
AP-INV-451065,Workday Financials,AR,TL-CA7055DA,CC-TWR-773870,T-Mobile,2024-04-01,2024-04,4324.42,4324.42,Received,4210-050,CC-WEST,REQ-831320,Active,,
SI-371510,Oracle EBS R12,AR,TL-5F8BEA93,CC-TWR-256175,AT&T,2024-12-01,2024-12,2198.72,2198.72,Pending,4210-050,CC-SOUTHEAST,PR-604548,Pending Renewal,,
INV-567010,Oracle EBS R12,AP,GL-C7B23ACB,CC-TWR-479201,Municipality,2024-04-01,2024-04,788.32,753.66,Paid,6110-001,CC-MIDWEST,PO-789912,Active,amount_mismatch,
AP-INV-739049,Oracle EBS R12,AP,GL-38C10DE8,CC-TWR-121322,Private Individual,2025-02-01,2025-02,6850.55,6850.55,On Hold,6110-002,CC-MIDWEST,PR-749542,Terminated,,
