access_id,tower_id,access_date,carrier,contractor,purpose,duration_hours,has_matching_mod_application,discrepancy_type,notes
ACC-384076-20241128-3,CC-TWR-384076,2024-11-28,Verizon,Nokia Deployment,Inspection,8.1,False,none,
ACC-384076-20250207-4,CC-TWR-384076,2025-02-07,Verizon,Summit Field Ops,Decommission,4.0,False,none,
ACC-239816-20240920-1,CC-TWR-239816,2024-09-20,T-Mobile,Ericsson Services,Equipment Install,3.5,False,none,
ACC-239816-20241010-2,CC-TWR-239816,2024-10-10,T-Mobile,SAI Group,Inspection,1.2,False,none,
ACC-239816-20241108-3,CC-TWR-239816,2024-11-08,T-Mobile,Unknown,Decommission,7.2,False,none,
ACC-239816-20240926-4,CC-TWR-239816,2024-09-26,T-Mobile,CommScope Install,Inspection,11.1,False,none,
ACC-324597-20240728-1,CC-TWR-324597,2024-07-28,Verizon,SAI Group,Routine Maintenance,9.3,False,none,
ACC-324597-20241215-2,CC-TWR-324597,2024-12-15,Verizon,Summit Field Ops,Inspection,3.3,False,none,
ACC-409030-20241010-1,CC-TWR-409030,2024-10-10,DISH Wireless,Unknown,Unknown,8.4,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-409030-20240930-2,CC-TWR-409030,2024-09-30,T-Mobile,CommScope Install,Equipment Install,7.9,False,none,
ACC-409030-20250129-3,CC-TWR-409030,2025-01-29,DISH Wireless,Unknown,Unknown,5.0,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-409030-20241209-4,CC-TWR-409030,2024-12-09,T-Mobile,CommScope Install,Inspection,1.4,False,none,
ACC-409030-20240619-5,CC-TWR-409030,2024-06-19,T-Mobile,Ericsson Services,Generator Service,1.9,False,none,
ACC-409030-20241105-6,CC-TWR-409030,2024-11-05,T-Mobile,MasTec,Generator Service,4.7,False,none,
ACC-409030-20250108-7,CC-TWR-409030,2025-01-08,T-Mobile,Summit Field Ops,Routine Maintenance,6.4,False,none,
ACC-786406-20241229-1,CC-TWR-786406,2024-12-29,Verizon,Vertical Bridge Services,Equipment Install,7.5,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-786406-20240722-2,CC-TWR-786406,2024-07-22,AT&T,Black & Veatch,Routine Maintenance,1.4,False,none,
ACC-786406-20240711-3,CC-TWR-786406,2024-07-11,Verizon,Black & Veatch,Antenna Swap,6.4,False,none,
ACC-786406-20241019-4,CC-TWR-786406,2024-10-19,Verizon,Ericsson Services,Decommission,8.0,False,none,
ACC-786406-20240710-5,CC-TWR-786406,2024-07-10,Verizon,Ericsson Services,Emergency Repair,11.0,False,none,
ACC-786406-20241008-6,CC-TWR-786406,2024-10-08,Verizon,CommScope Install,Generator Service,7.2,False,none,
ACC-717661-20241105-1,CC-TWR-717661,2024-11-05,T-Mobile,Summit Field Ops,Emergency Repair,2.5,False,none,
ACC-717661-20240630-2,CC-TWR-717661,2024-06-30,AT&T,CommScope Install,Inspection,9.4,False,none,
ACC-717661-20250119-3,CC-TWR-717661,2025-01-19,T-Mobile,Nokia Deployment,Inspection,3.9,False,none,
ACC-296059-20240821-1,CC-TWR-296059,2024-08-21,Verizon,MasTec,Antenna Swap,10.9,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-296059-20241105-2,CC-TWR-296059,2024-11-05,DISH Wireless,Vertical Bridge Services,Emergency Repair,4.4,False,none,
ACC-296059-20240805-3,CC-TWR-296059,2024-08-05,Verizon,Black & Veatch,Inspection,11.0,False,none,
ACC-608149-20240909-1,CC-TWR-608149,2024-09-09,DISH Wireless,Vertical Bridge Services,Decommission,2.5,False,none,
ACC-608149-20250115-2,CC-TWR-608149,2025-01-15,AT&T,CommScope Install,Antenna Swap,9.3,False,none,
ACC-749253-20250102-1,CC-TWR-749253,2025-01-02,T-Mobile,MasTec,Generator Service,6.0,False,none,
ACC-749253-20241030-2,CC-TWR-749253,2024-10-30,AT&T,SAI Group,Emergency Repair,9.8,False,none,
ACC-749253-20250208-3,CC-TWR-749253,2025-02-08,AT&T,CommScope Install,Antenna Swap,2.4,False,none,
ACC-749253-20240921-4,CC-TWR-749253,2024-09-21,T-Mobile,Ericsson Services,Routine Maintenance,1.6,False,none,
ACC-472358-20240816-1,CC-TWR-472358,2024-08-16,Verizon,Unknown,Routine Maintenance,3.9,False,none,
ACC-472358-20241022-2,CC-TWR-472358,2024-10-22,T-Mobile,Unknown,Routine Maintenance,4.5,False,none,
ACC-472358-20250222-3,CC-TWR-472358,2025-02-22,Verizon,CommScope Install,Generator Service,1.4,False,none,
ACC-472358-20240821-4,CC-TWR-472358,2024-08-21,Verizon,Vertical Bridge Services,Inspection,7.3,False,none,
ACC-472358-20241110-5,CC-TWR-472358,2024-11-10,Verizon,Unknown,Unknown,7.7,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-472358-20240711-6,CC-TWR-472358,2024-07-11,T-Mobile,Summit Field Ops,Decommission,9.1,False,none,
ACC-472358-20250109-7,CC-TWR-472358,2025-01-09,Verizon,Ericsson Services,Antenna Swap,8.5,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-472358-20241227-8,CC-TWR-472358,2024-12-27,Verizon,Nokia Deployment,Antenna Swap,8.0,False,none,
ACC-825423-20240602-1,CC-TWR-825423,2024-06-02,T-Mobile,Unknown,Inspection,10.6,False,none,
ACC-825423-20250218-2,CC-TWR-825423,2025-02-18,T-Mobile,Vertical Bridge Services,Generator Service,1.9,False,none,
ACC-825423-20250129-3,CC-TWR-825423,2025-01-29,T-Mobile,Ericsson Services,Routine Maintenance,2.4,False,none,
ACC-825423-20241231-4,CC-TWR-825423,2024-12-31,T-Mobile,Vertical Bridge Services,Equipment Install,8.8,False,none,
ACC-825423-20240712-5,CC-TWR-825423,2024-07-12,T-Mobile,Unknown,Unknown,4.0,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-201255-20241214-1,CC-TWR-201255,2024-12-14,Verizon,SAI Group,Routine Maintenance,11.9,False,none,
ACC-201255-20250205-2,CC-TWR-201255,2025-02-05,Verizon,Vertical Bridge Services,Inspection,7.2,False,none,
ACC-201255-20241224-3,CC-TWR-201255,2024-12-24,T-Mobile,Ericsson Services,Inspection,8.1,False,none,
ACC-201255-20241113-4,CC-TWR-201255,2024-11-13,Verizon,Unknown,Unknown,10.2,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-924265-20240820-1,CC-TWR-924265,2024-08-20,Verizon,Vertical Bridge Services,Emergency Repair,11.6,False,none,
ACC-924265-20241119-2,CC-TWR-924265,2024-11-19,Verizon,Summit Field Ops,Emergency Repair,7.3,False,none,
ACC-924265-20241111-3,CC-TWR-924265,2024-11-11,Verizon,Summit Field Ops,Decommission,2.3,False,none,
ACC-924265-20241003-4,CC-TWR-924265,2024-10-03,Verizon,SAI Group,Emergency Repair,4.1,False,none,
ACC-924265-20250216-5,CC-TWR-924265,2025-02-16,Verizon,Nokia Deployment,Routine Maintenance,7.1,False,none,
ACC-924265-20241118-6,CC-TWR-924265,2024-11-18,Verizon,Nokia Deployment,Generator Service,3.1,False,none,
ACC-924265-20250104-7,CC-TWR-924265,2025-01-04,Verizon,Nokia Deployment,Antenna Swap,2.4,False,none,
ACC-924265-20241013-8,CC-TWR-924265,2024-10-13,Verizon,SAI Group,Routine Maintenance,10.3,False,none,
ACC-901909-20240928-1,CC-TWR-901909,2024-09-28,Verizon,Unknown,Inspection,5.1,False,none,
ACC-901909-20240807-2,CC-TWR-901909,2024-08-07,Verizon,Unknown,Equipment Install,12.0,False,none,
ACC-901909-20241206-3,CC-TWR-901909,2024-12-06,AT&T,Black & Veatch,Antenna Swap,10.2,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-901909-20250102-4,CC-TWR-901909,2025-01-02,Verizon,Summit Field Ops,Equipment Install,5.6,False,none,
ACC-901909-20250205-5,CC-TWR-901909,2025-02-05,Verizon,Summit Field Ops,Decommission,2.6,False,none,
ACC-901909-20240921-6,CC-TWR-901909,2024-09-21,Verizon,CommScope Install,Decommission,3.0,False,none,
ACC-901909-20240810-7,CC-TWR-901909,2024-08-10,Verizon,Black & Veatch,Inspection,2.6,False,none,
ACC-810859-20240808-1,CC-TWR-810859,2024-08-08,T-Mobile,Summit Field Ops,Decommission,5.1,False,none,
ACC-810859-20240911-2,CC-TWR-810859,2024-09-11,T-Mobile,Vertical Bridge Services,Decommission,2.0,False,none,
ACC-810859-20240910-3,CC-TWR-810859,2024-09-10,T-Mobile,SAI Group,Generator Service,3.5,False,none,
ACC-622230-20250222-1,CC-TWR-622230,2025-02-22,Verizon,Nokia Deployment,Generator Service,6.4,True,none,
ACC-622230-20240607-2,CC-TWR-622230,2024-06-07,T-Mobile,Ericsson Services,Inspection,11.2,False,none,
ACC-622230-20240831-3,CC-TWR-622230,2024-08-31,T-Mobile,Black & Veatch,Antenna Swap,2.4,False,none,
ACC-622230-20241211-4,CC-TWR-622230,2024-12-11,Verizon,CommScope Install,Antenna Swap,7.3,False,none,
ACC-622230-20240601-5,CC-TWR-622230,2024-06-01,Verizon,CommScope Install,Inspection,3.4,False,none,
ACC-622230-20240901-6,CC-TWR-622230,2024-09-01,Verizon,Vertical Bridge Services,Decommission,2.2,False,none,
ACC-622230-20240710-7,CC-TWR-622230,2024-07-10,T-Mobile,CommScope Install,Inspection,3.6,False,none,
ACC-971482-20250117-1,CC-TWR-971482,2025-01-17,AT&T,Unknown,Antenna Swap,10.2,False,none,
ACC-971482-20250107-2,CC-TWR-971482,2025-01-07,US Cellular,Unknown,Generator Service,10.4,False,none,
ACC-971482-20240706-3,CC-TWR-971482,2024-07-06,US Cellular,CommScope Install,Inspection,5.0,False,none,
ACC-971482-20240703-4,CC-TWR-971482,2024-07-03,Verizon,Vertical Bridge Services,Decommission,6.7,False,none,
ACC-971482-20240601-5,CC-TWR-971482,2024-06-01,Verizon,Ericsson Services,Emergency Repair,11.0,False,none,
ACC-971482-20250125-6,CC-TWR-971482,2025-01-25,AT&T,Unknown,Equipment Install,1.2,False,none,
ACC-971482-20241225-7,CC-TWR-971482,2024-12-25,Verizon,Ericsson Services,Inspection,1.6,False,none,
ACC-755910-20240827-1,CC-TWR-755910,2024-08-27,AT&T,Unknown,Decommission,11.2,False,none,
ACC-755910-20250205-2,CC-TWR-755910,2025-02-05,AT&T,Summit Field Ops,Generator Service,10.3,False,none,
ACC-755910-20241113-3,CC-TWR-755910,2024-11-13,AT&T,Nokia Deployment,Antenna Swap,9.9,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-755910-20250107-4,CC-TWR-755910,2025-01-07,AT&T,Unknown,Emergency Repair,4.0,False,none,
ACC-653306-20240619-1,CC-TWR-653306,2024-06-19,DISH Wireless,MasTec,Emergency Repair,9.0,False,none,
ACC-653306-20250201-2,CC-TWR-653306,2025-02-01,DISH Wireless,SAI Group,Inspection,1.3,False,none,
ACC-689318-20241006-1,CC-TWR-689318,2024-10-06,Verizon,Ericsson Services,Routine Maintenance,7.6,False,none,
ACC-689318-20241206-2,CC-TWR-689318,2024-12-06,T-Mobile,MasTec,Inspection,6.9,False,none,
ACC-689318-20240902-3,CC-TWR-689318,2024-09-02,T-Mobile,Nokia Deployment,Inspection,10.3,False,none,
ACC-689318-20241026-4,CC-TWR-689318,2024-10-26,Verizon,Nokia Deployment,Routine Maintenance,11.0,False,none,
ACC-689318-20241024-5,CC-TWR-689318,2024-10-24,Verizon,Summit Field Ops,Equipment Install,2.9,False,none,
ACC-689318-20250217-6,CC-TWR-689318,2025-02-17,T-Mobile,Black & Veatch,Equipment Install,5.0,False,none,
ACC-689318-20240926-7,CC-TWR-689318,2024-09-26,T-Mobile,Vertical Bridge Services,Equipment Install,6.1,False,none,
ACC-689318-20240613-8,CC-TWR-689318,2024-06-13,Verizon,Black & Veatch,Emergency Repair,9.4,False,none,
ACC-336650-20240917-1,CC-TWR-336650,2024-09-17,T-Mobile,CommScope Install,Antenna Swap,8.8,False,none,
ACC-336650-20241214-2,CC-TWR-336650,2024-12-14,T-Mobile,Summit Field Ops,Antenna Swap,7.4,True,none,
ACC-336650-20240627-3,CC-TWR-336650,2024-06-27,T-Mobile,Ericsson Services,Decommission,8.8,False,none,
ACC-336650-20240804-4,CC-TWR-336650,2024-08-04,T-Mobile,Black & Veatch,Antenna Swap,3.8,False,none,
ACC-226882-20240712-1,CC-TWR-226882,2024-07-12,AT&T,CommScope Install,Routine Maintenance,2.0,False,none,
ACC-226882-20241103-2,CC-TWR-226882,2024-11-03,C Spire,MasTec,Equipment Install,2.0,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-226882-20250119-3,CC-TWR-226882,2025-01-19,C Spire,Ericsson Services,Decommission,4.9,False,none,
ACC-561865-20241209-1,CC-TWR-561865,2024-12-09,C Spire,SAI Group,Antenna Swap,2.6,False,none,
ACC-561865-20241003-2,CC-TWR-561865,2024-10-03,AT&T,Unknown,Decommission,8.0,False,none,
ACC-561865-20241022-3,CC-TWR-561865,2024-10-22,C Spire,Summit Field Ops,Generator Service,9.5,False,none,
ACC-561865-20240624-4,CC-TWR-561865,2024-06-24,AT&T,MasTec,Decommission,2.7,False,none,
ACC-561865-20240723-5,CC-TWR-561865,2024-07-23,AT&T,Unknown,Equipment Install,10.6,False,none,
ACC-561865-20250217-6,CC-TWR-561865,2025-02-17,AT&T,Summit Field Ops,Antenna Swap,2.5,False,none,
ACC-561865-20240604-7,CC-TWR-561865,2024-06-04,AT&T,Unknown,Generator Service,10.1,False,none,
ACC-680189-20240816-1,CC-TWR-680189,2024-08-16,Verizon,Summit Field Ops,Antenna Swap,10.6,False,none,
ACC-680189-20240906-2,CC-TWR-680189,2024-09-06,Verizon,Unknown,Unknown,10.5,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-680189-20241101-3,CC-TWR-680189,2024-11-01,Verizon,Unknown,Equipment Install,10.3,False,none,
ACC-251195-20240805-1,CC-TWR-251195,2024-08-05,AT&T,MasTec,Decommission,8.1,False,none,
ACC-251195-20240715-2,CC-TWR-251195,2024-07-15,AT&T,Nokia Deployment,Routine Maintenance,10.3,False,none,
ACC-251195-20240708-3,CC-TWR-251195,2024-07-08,T-Mobile,Summit Field Ops,Inspection,9.4,False,none,
ACC-251195-20241121-4,CC-TWR-251195,2024-11-21,AT&T,Black & Veatch,Decommission,11.0,False,none,
ACC-251195-20241212-5,CC-TWR-251195,2024-12-12,AT&T,Vertical Bridge Services,Emergency Repair,2.5,False,none,
ACC-251195-20241212-6,CC-TWR-251195,2024-12-12,T-Mobile,Ericsson Services,Decommission,7.5,False,none,
ACC-251195-20241202-7,CC-TWR-251195,2024-12-02,AT&T,Unknown,Unknown,3.5,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-552275-20241115-1,CC-TWR-552275,2024-11-15,Verizon,Vertical Bridge Services,Decommission,8.0,False,none,
ACC-552275-20241102-2,CC-TWR-552275,2024-11-02,AT&T,Black & Veatch,Antenna Swap,10.3,False,none,
ACC-780027-20241022-1,CC-TWR-780027,2024-10-22,T-Mobile,Summit Field Ops,Emergency Repair,11.4,False,none,
ACC-780027-20250219-2,CC-TWR-780027,2025-02-19,T-Mobile,Ericsson Services,Emergency Repair,3.4,False,none,
ACC-780027-20250129-3,CC-TWR-780027,2025-01-29,T-Mobile,Unknown,Equipment Install,1.5,False,none,
ACC-780027-20240727-4,CC-TWR-780027,2024-07-27,T-Mobile,Ericsson Services,Antenna Swap,7.5,False,none,
ACC-924040-20240912-1,CC-TWR-924040,2024-09-12,AT&T,SAI Group,Generator Service,6.3,False,none,
ACC-924040-20240619-2,CC-TWR-924040,2024-06-19,AT&T,SAI Group,Generator Service,5.5,False,none,
ACC-924040-20240911-3,CC-TWR-924040,2024-09-11,AT&T,Black & Veatch,Inspection,7.1,False,none,
ACC-924040-20241204-4,CC-TWR-924040,2024-12-04,AT&T,MasTec,Equipment Install,3.5,False,none,
ACC-924040-20241118-5,CC-TWR-924040,2024-11-18,AT&T,MasTec,Emergency Repair,7.5,False,none,
ACC-924040-20250211-6,CC-TWR-924040,2025-02-11,AT&T,Nokia Deployment,Routine Maintenance,11.7,False,none,
ACC-924040-20250205-7,CC-TWR-924040,2025-02-05,AT&T,Unknown,Decommission,4.1,False,none,
ACC-924040-20241014-8,CC-TWR-924040,2024-10-14,AT&T,Unknown,Decommission,4.0,False,none,
ACC-924566-20240822-1,CC-TWR-924566,2024-08-22,AT&T,CommScope Install,Routine Maintenance,9.5,False,none,
ACC-924566-20241201-2,CC-TWR-924566,2024-12-01,AT&T,Nokia Deployment,Inspection,4.2,False,none,
ACC-924566-20241204-3,CC-TWR-924566,2024-12-04,AT&T,Ericsson Services,Antenna Swap,1.4,False,none,
ACC-440998-20241210-1,CC-TWR-440998,2024-12-10,T-Mobile,SAI Group,Decommission,4.3,False,none,
ACC-440998-20240928-2,CC-TWR-440998,2024-09-28,T-Mobile,Unknown,Unknown,10.2,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-440998-20240807-3,CC-TWR-440998,2024-08-07,T-Mobile,Summit Field Ops,Antenna Swap,1.6,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-440998-20241118-4,CC-TWR-440998,2024-11-18,T-Mobile,Unknown,Unknown,10.5,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-440998-20240605-5,CC-TWR-440998,2024-06-05,T-Mobile,CommScope Install,Antenna Swap,12.0,False,none,
ACC-294969-20250216-1,CC-TWR-294969,2025-02-16,Verizon,Unknown,Unknown,2.5,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-294969-20240708-2,CC-TWR-294969,2024-07-08,Verizon,Black & Veatch,Antenna Swap,10.4,False,none,
ACC-294969-20240707-3,CC-TWR-294969,2024-07-07,Verizon,MasTec,Emergency Repair,10.4,False,none,
ACC-294969-20250103-4,CC-TWR-294969,2025-01-03,Verizon,Summit Field Ops,Equipment Install,5.0,False,none,
ACC-294969-20250115-5,CC-TWR-294969,2025-01-15,Verizon,SAI Group,Generator Service,5.2,False,none,
ACC-294969-20240604-6,CC-TWR-294969,2024-06-04,Verizon,Nokia Deployment,Antenna Swap,11.9,False,none,
ACC-294969-20240713-7,CC-TWR-294969,2024-07-13,Verizon,Black & Veatch,Generator Service,6.3,False,none,
ACC-294969-20250126-8,CC-TWR-294969,2025-01-26,Verizon,Summit Field Ops,Emergency Repair,5.0,False,none,
ACC-162804-20250218-1,CC-TWR-162804,2025-02-18,DISH Wireless,Vertical Bridge Services,Decommission,11.6,False,none,
ACC-162804-20250126-2,CC-TWR-162804,2025-01-26,AT&T,Ericsson Services,Inspection,9.1,False,none,
ACC-162804-20240603-3,CC-TWR-162804,2024-06-03,DISH Wireless,Unknown,Antenna Swap,7.5,False,none,
ACC-162804-20240813-4,CC-TWR-162804,2024-08-13,T-Mobile,MasTec,Decommission,6.4,False,none,
ACC-162804-20240605-5,CC-TWR-162804,2024-06-05,AT&T,Nokia Deployment,Decommission,10.3,False,none,
ACC-162804-20241218-6,CC-TWR-162804,2024-12-18,AT&T,Black & Veatch,Inspection,2.0,False,none,
ACC-162804-20241107-7,CC-TWR-162804,2024-11-07,T-Mobile,Unknown,Routine Maintenance,5.0,False,none,
ACC-162804-20250213-8,CC-TWR-162804,2025-02-13,T-Mobile,Unknown,Emergency Repair,5.3,False,none,
ACC-359168-20250220-1,CC-TWR-359168,2025-02-20,Verizon,MasTec,Inspection,5.1,True,none,
ACC-359168-20240902-2,CC-TWR-359168,2024-09-02,AT&T,Vertical Bridge Services,Equipment Install,1.7,False,none,
ACC-359168-20241103-3,CC-TWR-359168,2024-11-03,Verizon,CommScope Install,Antenna Swap,8.7,False,none,
ACC-755420-20250121-1,CC-TWR-755420,2025-01-21,DISH Wireless,CommScope Install,Routine Maintenance,7.4,False,none,
ACC-755420-20240813-2,CC-TWR-755420,2024-08-13,AT&T,Vertical Bridge Services,Inspection,5.5,False,none,
ACC-755420-20240625-3,CC-TWR-755420,2024-06-25,DISH Wireless,Black & Veatch,Decommission,10.1,False,none,
ACC-706403-20241106-1,CC-TWR-706403,2024-11-06,T-Mobile,CommScope Install,Generator Service,8.4,False,none,
ACC-706403-20241123-2,CC-TWR-706403,2024-11-23,T-Mobile,MasTec,Routine Maintenance,6.8,False,none,
ACC-706403-20240810-3,CC-TWR-706403,2024-08-10,Verizon,Ericsson Services,Emergency Repair,3.3,False,none,
ACC-706403-20250116-4,CC-TWR-706403,2025-01-16,Verizon,Black & Veatch,Decommission,10.1,False,none,
ACC-706403-20240828-5,CC-TWR-706403,2024-08-28,T-Mobile,Vertical Bridge Services,Equipment Install,10.5,False,none,
ACC-706403-20240726-6,CC-TWR-706403,2024-07-26,Verizon,Unknown,Unknown,4.0,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-706403-20240818-7,CC-TWR-706403,2024-08-18,Verizon,Ericsson Services,Generator Service,6.6,False,none,
ACC-706403-20250204-8,CC-TWR-706403,2025-02-04,T-Mobile,SAI Group,Generator Service,10.2,False,none,
ACC-139807-20241105-1,CC-TWR-139807,2024-11-05,AT&T,Black & Veatch,Equipment Install,6.1,False,none,
ACC-139807-20241225-2,CC-TWR-139807,2024-12-25,AT&T,Nokia Deployment,Generator Service,6.5,False,none,
ACC-139807-20240604-3,CC-TWR-139807,2024-06-04,AT&T,Summit Field Ops,Equipment Install,9.4,False,none,
ACC-139807-20240629-4,CC-TWR-139807,2024-06-29,AT&T,Unknown,Emergency Repair,10.5,False,none,
ACC-727086-20241009-1,CC-TWR-727086,2024-10-09,AT&T,MasTec,Inspection,2.4,False,none,
ACC-727086-20241020-2,CC-TWR-727086,2024-10-20,Verizon,Vertical Bridge Services,Emergency Repair,3.2,False,none,
ACC-727086-20240924-3,CC-TWR-727086,2024-09-24,Verizon,SAI Group,Inspection,7.5,False,none,
ACC-727086-20240813-4,CC-TWR-727086,2024-08-13,Verizon,MasTec,Antenna Swap,1.6,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-727086-20241105-5,CC-TWR-727086,2024-11-05,AT&T,Nokia Deployment,Emergency Repair,1.6,False,none,
ACC-727086-20240604-6,CC-TWR-727086,2024-06-04,AT&T,MasTec,Generator Service,4.0,False,none,
ACC-727086-20241113-7,CC-TWR-727086,2024-11-13,Verizon,Nokia Deployment,Routine Maintenance,10.6,False,none,
ACC-727086-20240616-8,CC-TWR-727086,2024-06-16,Verizon,Summit Field Ops,Decommission,9.3,False,none,
ACC-979269-20241028-1,CC-TWR-979269,2024-10-28,US Cellular,Vertical Bridge Services,Routine Maintenance,4.2,False,none,
ACC-979269-20240929-2,CC-TWR-979269,2024-09-29,T-Mobile,Summit Field Ops,Equipment Install,1.9,False,none,
ACC-979269-20241128-3,CC-TWR-979269,2024-11-28,US Cellular,Nokia Deployment,Equipment Install,9.5,False,none,
ACC-979269-20240606-4,CC-TWR-979269,2024-06-06,US Cellular,Ericsson Services,Equipment Install,2.3,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-979269-20240813-5,CC-TWR-979269,2024-08-13,US Cellular,SAI Group,Inspection,5.3,False,none,
ACC-979269-20241027-6,CC-TWR-979269,2024-10-27,T-Mobile,Summit Field Ops,Inspection,9.4,False,none,
ACC-880746-20240822-1,CC-TWR-880746,2024-08-22,AT&T,SAI Group,Routine Maintenance,10.9,False,none,
ACC-880746-20250204-2,CC-TWR-880746,2025-02-04,AT&T,CommScope Install,Antenna Swap,11.9,False,none,
ACC-880746-20240805-3,CC-TWR-880746,2024-08-05,AT&T,Ericsson Services,Inspection,3.4,False,none,
ACC-118632-20240619-1,CC-TWR-118632,2024-06-19,T-Mobile,CommScope Install,Inspection,6.3,False,none,
ACC-118632-20240920-2,CC-TWR-118632,2024-09-20,Verizon,Vertical Bridge Services,Generator Service,2.3,False,none,
ACC-118632-20241025-3,CC-TWR-118632,2024-10-25,T-Mobile,Nokia Deployment,Emergency Repair,9.3,False,none,
ACC-118632-20240816-4,CC-TWR-118632,2024-08-16,Verizon,SAI Group,Equipment Install,5.5,False,none,
ACC-118632-20250211-5,CC-TWR-118632,2025-02-11,T-Mobile,Vertical Bridge Services,Equipment Install,4.1,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-118632-20241202-6,CC-TWR-118632,2024-12-02,Verizon,Unknown,Decommission,8.8,False,none,
ACC-118632-20240721-7,CC-TWR-118632,2024-07-21,Verizon,MasTec,Routine Maintenance,7.9,False,none,
ACC-118632-20241005-8,CC-TWR-118632,2024-10-05,Verizon,Summit Field Ops,Equipment Install,8.3,False,none,
ACC-861411-20240604-1,CC-TWR-861411,2024-06-04,US Cellular,Vertical Bridge Services,Antenna Swap,10.6,False,none,
