mod_id,tower_id,contract_id,carrier,mod_type,submitted_date,approved_date,install_date,mod_approved,physically_installed,billing_updated,monthly_rate_change_usd,discrepancy_type,notes
MOD-977345-6129,CC-TWR-977345,TL-52F36FCD,Verizon,Add Sector,2024-03-16,2024-06-05,2024-08-11,True,True,True,1431.59,none,
MOD-778636-1659,CC-TWR-778636,TL-B343E163,Verizon,5G Overlay,2024-11-13,2025-01-08,2025-04-16,True,True,True,634.35,none,
MOD-782141-7506,CC-TWR-782141,TL-ABF5E177,DISH Wireless,Height Change,2024-06-08,2024-07-02,2024-08-12,True,True,True,346.26,none,
MOD-665610-7044,CC-TWR-665610,TL-5F5B52A9,AT&T,Generator Install,2024-09-16,2024-10-28,2025-01-13,True,True,True,1038.88,none,
MOD-665610-1221,CC-TWR-665610,TL-E23128FA,AT&T,Antenna Swap,2024-05-26,2024-06-17,2024-08-29,True,True,True,330.49,none,
MOD-665610-5358,CC-TWR-665610,TL-9174A50E,DISH Wireless,Antenna Swap,2024-09-12,2024-12-11,2025-03-05,True,True,True,550.78,none,
MOD-959959-2868,CC-TWR-959959,TL-A38318F3,T-Mobile,Generator Install,2024-01-22,2024-02-13,2024-05-07,True,True,True,766.6,non_conformance,Installation does not match approved plans — wind load or interference risk
MOD-959959-2406,CC-TWR-959959,TL-CB118DF6,DISH Wireless,Height Change,2024-02-09,2024-05-08,2024-06-27,True,True,True,942.14,non_conformance,Installation does not match approved plans — wind load or interference risk
MOD-972565-2696,CC-TWR-972565,TL-EBCE0F51,T-Mobile,Cabinet Addition,2024-08-01,2024-09-16,2024-11-02,True,True,True,1028.41,none,
MOD-460572-2680,CC-TWR-460572,TL-4F4E35DA,T-Mobile,Height Change,2025-01-16,2025-03-22,2025-05-08,True,True,True,1285.1,none,
MOD-197966-5379,CC-TWR-197966,TL-36BBD619,DISH Wireless,Cabinet Addition,2024-03-29,2024-05-09,2024-07-11,True,True,True,744.54,none,
MOD-151328-4625,CC-TWR-151328,TL-00C17C4E,T-Mobile,Cabinet Addition,2025-01-09,2025-02-15,2025-05-14,True,True,True,448.81,none,
MOD-389930-6683,CC-TWR-389930,TL-ABC6C614,T-Mobile,Add Sector,2024-06-18,2024-07-15,2024-09-28,True,True,True,681.14,none,
MOD-791567-9021,CC-TWR-791567,TL-D19807B4,AT&T,5G Overlay,2024-03-27,2024-05-10,2024-07-12,True,True,True,580.86,none,
MOD-561477-3493,CC-TWR-561477,TL-9CF8AA7A,US Cellular,RRU Replacement,2024-01-02,2024-02-22,2024-05-04,True,True,True,1347.82,none,
MOD-561477-3232,CC-TWR-561477,TL-51B254FF,AT&T,Cabinet Addition,2024-06-22,2024-09-18,2024-12-09,True,True,True,1057.97,none,
MOD-213355-5165,CC-TWR-213355,TL-BE2C7942,T-Mobile,Height Change,2024-03-24,2024-04-27,2024-06-30,True,True,True,278.56,none,
MOD-579404-3467,CC-TWR-579404,TL-8DF26090,DISH Wireless,5G Overlay,2024-02-11,2024-04-30,2024-07-07,True,True,True,856.88,none,
MOD-322423-7746,CC-TWR-322423,TL-F7B7363C,T-Mobile,5G Overlay,2024-09-17,2024-11-11,2024-12-28,True,True,True,556.13,none,
MOD-322423-9255,CC-TWR-322423,TL-A800B61F,Verizon,RRU Replacement,2024-04-06,2024-06-07,2024-08-10,True,True,True,1000.84,none,
MOD-871476-3692,CC-TWR-871476,TL-86E361CE,AT&T,RRU Replacement,2025-01-27,,2025-06-07,False,True,True,373.2,no_mod_application,Equipment change detected on tower without approved modification application
MOD-841666-4443,CC-TWR-841666,TL-F8A04013,T-Mobile,Equipment Upgrade,2024-11-03,,2025-02-28,False,True,True,1382.11,no_mod_application,Equipment change detected on tower without approved modification application
MOD-502810-9876,CC-TWR-502810,TL-D5687B0F,C Spire,Generator Install,2024-03-29,2024-05-13,2024-09-01,True,True,True,546.91,none,
MOD-502810-3121,CC-TWR-502810,TL-A4B71A00,T-Mobile,Generator Install,2024-12-05,2025-01-22,2025-03-03,True,True,True,1196.93,none,
MOD-154615-5531,CC-TWR-154615,TL-7D22CADD,Verizon,Add Sector,2024-11-23,2025-02-11,2025-04-18,True,True,True,1229.21,none,
MOD-579318-2825,CC-TWR-579318,TL-EFA1B68F,AT&T,5G Overlay,2024-12-18,2025-01-14,2025-02-18,True,True,True,1267.49,non_conformance,Installation does not match approved plans — wind load or interference risk
MOD-888734-1146,CC-TWR-888734,TL-907B4F03,AT&T,Add Sector,2024-04-01,2024-06-03,2024-08-04,True,True,True,361.2,none,
MOD-887443-7304,CC-TWR-887443,TL-B1F4E418,US Cellular,Cabinet Addition,2024-10-16,2024-11-03,,True,False,True,832.64,not_installed,Mod approved and billing updated but equipment never installed — tenant overcharged
MOD-560959-3915,CC-TWR-560959,TL-A6A58AE4,Verizon,Add Sector,2024-07-22,2024-09-20,2024-12-23,True,True,True,992.25,none,
MOD-558339-6864,CC-TWR-558339,TL-FAF05EF6,T-Mobile,Equipment Upgrade,2024-06-23,2024-07-14,2024-08-19,True,True,True,890.82,none,
MOD-701253-4517,CC-TWR-701253,TL-CBCC681D,C Spire,Generator Install,2025-01-31,2025-03-15,2025-05-14,True,True,True,685.3,none,
MOD-493663-4305,CC-TWR-493663,TL-9ADE17D3,Verizon,Height Change,2024-11-02,2024-12-05,,True,False,True,1109.3,not_installed,Mod approved and billing updated but equipment never installed — tenant overcharged
MOD-493663-3919,CC-TWR-493663,TL-601A6DB3,DISH Wireless,5G Overlay,2024-10-21,2024-12-09,2025-03-19,True,True,True,484.75,none,
MOD-493663-4251,CC-TWR-493663,TL-71190EA8,T-Mobile,Antenna Swap,2024-06-28,2024-09-13,2024-10-22,True,True,True,354.24,none,
MOD-823846-4629,CC-TWR-823846,TL-4943229E,US Cellular,Equipment Upgrade,2024-02-14,,2024-06-26,False,True,True,1418.61,no_mod_application,Equipment change detected on tower without approved modification application
MOD-397809-4779,CC-TWR-397809,TL-4D847ECB,Verizon,Cabinet Addition,2024-03-26,2024-06-13,2024-08-12,True,True,False,1074.41,billing_not_updated,Mod completed but billing system not updated — revenue leakage
MOD-211486-3299,CC-TWR-211486,TL-65696B13,T-Mobile,Equipment Upgrade,2024-04-08,2024-07-02,2024-09-30,True,True,True,1057.71,none,
MOD-934042-8172,CC-TWR-934042,TL-3878A041,T-Mobile,Equipment Upgrade,2024-09-18,2024-11-15,2025-02-26,True,True,True,398.16,none,
MOD-766275-7980,CC-TWR-766275,TL-94E94193,Verizon,Generator Install,2024-11-28,2025-01-02,2025-03-15,True,True,True,613.58,none,
MOD-398761-9420,CC-TWR-398761,TL-E2C6ECE3,Verizon,Height Change,2025-01-22,2025-04-11,2025-06-12,True,True,True,1439.95,none,
MOD-990598-3642,CC-TWR-990598,TL-0D8B6B37,Verizon,Height Change,2024-05-21,2024-07-16,2024-09-27,True,True,True,714.62,none,
MOD-483041-6970,CC-TWR-483041,TL-2F83AC99,T-Mobile,Add Sector,2024-05-20,2024-06-04,2024-07-22,True,True,True,829.15,none,
MOD-156213-7719,CC-TWR-156213,TL-FC7FBBC9,AT&T,Cabinet Addition,2025-01-05,2025-03-29,2025-06-05,True,True,True,777.8,none,
MOD-727354-9505,CC-TWR-727354,TL-F7DA996D,Verizon,Cabinet Addition,2024-12-30,2025-02-13,2025-04-30,True,True,True,1333.13,none,
MOD-575435-8034,CC-TWR-575435,TL-691B6C0E,AT&T,Add Sector,2025-01-01,2025-01-15,2025-03-15,True,True,True,1477.73,none,
MOD-930117-4310,CC-TWR-930117,TL-B2F90E3A,T-Mobile,Antenna Swap,2024-10-19,,2025-03-11,False,True,True,986.89,no_mod_application,Equipment change detected on tower without approved modification application
MOD-930117-8824,CC-TWR-930117,TL-FB3C00D3,Verizon,Height Change,2024-11-23,2025-02-02,2025-05-04,True,True,True,1447.65,none,
MOD-502491-6219,CC-TWR-502491,TL-01B5765D,Verizon,Generator Install,2024-05-28,2024-08-14,2024-10-28,True,True,True,1234.61,none,
MOD-626560-3339,CC-TWR-626560,TL-5C347C52,US Cellular,Equipment Upgrade,2024-01-29,2024-02-25,2024-04-23,True,True,True,1023.57,none,
MOD-950823-8001,CC-TWR-950823,TL-9E99B7A4,Verizon,Cabinet Addition,2024-12-12,2025-01-10,2025-02-25,True,True,True,919.13,none,
MOD-237962-7246,CC-TWR-237962,TL-C8278627,AT&T,Height Change,2024-05-19,2024-07-08,2024-08-26,True,True,True,1215.97,none,
MOD-694916-6113,CC-TWR-694916,TL-54927E95,AT&T,Height Change,2024-05-09,2024-07-06,2024-10-26,True,True,True,1269.67,none,
MOD-711046-7907,CC-TWR-711046,TL-B36DA67D,T-Mobile,5G Overlay,2024-10-06,2024-12-01,2025-01-27,True,True,True,1485.6,none,
MOD-291961-2951,CC-TWR-291961,TL-45D6860F,Verizon,Equipment Upgrade,2025-01-10,2025-02-02,2025-03-04,True,True,True,963.34,none,
MOD-291961-5149,CC-TWR-291961,TL-412DE865,T-Mobile,Height Change,2024-06-12,2024-07-31,2024-11-13,True,True,True,481.3,none,
MOD-291961-6743,CC-TWR-291961,TL-0BD4CEF2,AT&T,Equipment Upgrade,2024-02-16,2024-03-25,2024-07-21,True,True,True,318.0,none,
MOD-426711-8971,CC-TWR-426711,TL-B9764970,T-Mobile,Equipment Upgrade,2024-03-22,2024-05-01,2024-08-15,True,True,True,430.52,none,
MOD-426711-6941,CC-TWR-426711,TL-FCE89E39,C Spire,Generator Install,2024-01-18,2024-03-22,2024-05-31,True,True,True,750.51,none,
MOD-372315-9849,CC-TWR-372315,TL-18236F65,T-Mobile,Equipment Upgrade,2024-04-30,2024-07-24,2024-10-15,True,True,True,285.3,none,
MOD-372315-9451,CC-TWR-372315,TL-76D44540,Verizon,Height Change,2024-10-26,2024-11-17,2024-12-31,True,True,True,641.63,none,
MOD-198867-7637,CC-TWR-198867,TL-5E207D11,DISH Wireless,Height Change,2024-01-18,2024-02-07,2024-03-13,True,True,True,576.03,none,
MOD-327999-2743,CC-TWR-327999,TL-430672DF,Verizon,Height Change,2024-10-13,2024-12-26,2025-02-26,True,True,True,278.13,none,
MOD-912510-5286,CC-TWR-912510,TL-EB760164,T-Mobile,RRU Replacement,2025-01-02,2025-02-07,2025-03-22,True,True,True,960.81,none,
MOD-685549-7882,CC-TWR-685549,TL-02F144D4,DISH Wireless,RRU Replacement,2024-10-27,2024-12-09,2025-03-04,True,True,True,467.29,none,
MOD-685549-6737,CC-TWR-685549,TL-0DA97514,AT&T,5G Overlay,2024-04-06,2024-05-08,2024-07-12,True,True,True,821.7,none,
MOD-775960-2782,CC-TWR-775960,TL-D8CAB011,AT&T,Height Change,2025-01-18,2025-02-07,2025-05-23,True,True,True,928.95,none,
MOD-775960-1387,CC-TWR-775960,TL-133669EF,T-Mobile,Add Sector,2024-06-01,2024-07-28,2024-10-03,True,True,True,780.22,none,
MOD-208214-4634,CC-TWR-208214,TL-1DD67717,T-Mobile,Antenna Swap,2024-09-10,2024-10-17,2024-12-11,True,True,True,871.93,none,
MOD-805034-2564,CC-TWR-805034,TL-5B6E8B36,AT&T,Antenna Swap,2025-01-01,2025-03-13,2025-07-11,True,True,True,331.29,none,
MOD-207197-2437,CC-TWR-207197,TL-893C1E76,T-Mobile,Generator Install,2025-01-03,2025-01-20,2025-03-22,True,True,True,826.26,none,
MOD-855053-6231,CC-TWR-855053,TL-36C0CB5B,AT&T,Antenna Swap,2024-12-12,2025-03-12,2025-06-27,True,True,True,498.02,none,
MOD-488571-4523,CC-TWR-488571,TL-83204F68,T-Mobile,Generator Install,2024-12-22,2025-03-09,2025-06-01,True,True,True,1085.72,none,
MOD-488571-4900,CC-TWR-488571,TL-9D0FE0E0,Verizon,RRU Replacement,2025-01-13,2025-02-13,2025-03-22,True,True,True,1259.04,none,
MOD-184002-7852,CC-TWR-184002,TL-92DA80C4,US Cellular,Antenna Swap,2024-05-18,2024-07-13,2024-10-05,True,True,True,1026.28,none,
MOD-184002-2714,CC-TWR-184002,TL-DBD87BDB,Verizon,Cabinet Addition,2024-08-16,2024-11-12,2025-01-08,True,True,True,363.84,none,
MOD-412856-5268,CC-TWR-412856,TL-24FD9C6F,T-Mobile,Antenna Swap,2024-04-13,2024-06-11,2024-07-28,True,True,True,749.66,none,
MOD-324993-6414,CC-TWR-324993,TL-C33CC694,T-Mobile,Generator Install,2025-01-05,2025-02-10,2025-05-09,True,True,True,1286.44,none,
MOD-324993-1321,CC-TWR-324993,TL-8361A128,Verizon,RRU Replacement,2024-01-16,2024-04-02,2024-06-30,True,True,False,601.75,billing_not_updated,Mod completed but billing system not updated — revenue leakage
MOD-278852-6036,CC-TWR-278852,TL-F74E341E,T-Mobile,5G Overlay,2025-01-05,2025-02-07,,True,False,True,1136.84,not_installed,Mod approved and billing updated but equipment never installed — tenant overcharged
MOD-839945-1087,CC-TWR-839945,TL-3917D873,T-Mobile,Height Change,2024-11-13,2024-12-14,2025-04-07,True,True,True,329.16,none,
MOD-185569-6006,CC-TWR-185569,TL-B9D5DFF7,T-Mobile,Add Sector,2024-01-11,2024-02-26,2024-04-26,True,True,False,1126.0,billing_not_updated,Mod completed but billing system not updated — revenue leakage
MOD-185569-7123,CC-TWR-185569,TL-7C518C25,AT&T,RRU Replacement,2024-03-04,2024-04-04,,True,False,True,690.25,not_installed,Mod approved and billing updated but equipment never installed — tenant overcharged
MOD-384434-7846,CC-TWR-384434,TL-A71D541A,AT&T,Height Change,2024-10-01,2024-12-06,2025-01-23,True,True,True,1330.31,none,
MOD-949363-1638,CC-TWR-949363,TL-F621F0C8,Verizon,5G Overlay,2024-12-26,2025-01-15,2025-03-06,True,True,True,1068.04,none,
MOD-130353-3094,CC-TWR-130353,TL-0A42F60F,T-Mobile,Add Sector,2024-07-26,2024-08-31,2024-11-18,True,True,True,426.25,none,
MOD-130353-2898,CC-TWR-130353,TL-362C16F6,T-Mobile,Add Sector,2024-10-13,2024-12-02,2025-02-05,True,True,True,705.75,none,
MOD-130353-2260,CC-TWR-130353,TL-786F1E58,Verizon,5G Overlay,2024-08-23,2024-11-16,2025-02-10,True,True,True,1129.55,none,
MOD-784733-1315,CC-TWR-784733,TL-2B56F2DB,Verizon,Add Sector,2024-12-04,2024-12-22,2025-02-09,True,True,True,475.89,non_conformance,Installation does not match approved plans — wind load or interference risk
MOD-855185-4910,CC-TWR-855185,TL-94E7008A,Verizon,Add Sector,2024-12-20,2025-02-06,2025-04-07,True,True,True,1220.99,none,
MOD-245308-4778,CC-TWR-245308,TL-51F08B3D,Verizon,Equipment Upgrade,2024-12-13,2025-02-15,2025-04-17,True,True,True,374.09,none,
MOD-245308-7030,CC-TWR-245308,TL-16DB538F,T-Mobile,Height Change,2024-02-23,2024-03-24,2024-07-19,True,True,True,303.37,none,
MOD-245308-6474,CC-TWR-245308,TL-BA635D1B,AT&T,Add Sector,2024-02-10,2024-04-17,2024-06-23,True,True,True,1046.7,none,
MOD-271456-6103,CC-TWR-271456,TL-0189F76F,Verizon,Cabinet Addition,2024-12-07,,2025-05-02,False,True,True,493.43,no_mod_application,Equipment change detected on tower without approved modification application
MOD-256175-3175,CC-TWR-256175,TL-5F8BEA93,AT&T,Add Sector,2024-12-15,2025-03-15,2025-04-15,True,True,True,613.13,none,
MOD-898169-5525,CC-TWR-898169,TL-F5697F46,Verizon,Height Change,2024-06-14,2024-08-25,2024-11-29,True,True,True,739.09,none,
MOD-125755-8433,CC-TWR-125755,TL-04335DB6,T-Mobile,Add Sector,2025-01-01,2025-03-05,2025-05-18,True,True,True,1203.62,none,
MOD-414546-2719,CC-TWR-414546,TL-9BE2C0A3,T-Mobile,Height Change,2024-09-15,2024-11-22,2025-02-10,True,True,False,1229.63,billing_not_updated,Mod completed but billing system not updated — revenue leakage
MOD-453487-9867,CC-TWR-453487,TL-CFF93F59,T-Mobile,Height Change,2024-08-01,2024-09-14,2024-12-11,True,True,True,435.05,none,
MOD-243006-2606,CC-TWR-243006,TL-0B9EC5D8,T-Mobile,Cabinet Addition,2024-06-08,2024-08-12,2024-09-16,True,True,True,291.93,none,
MOD-185544-9595,CC-TWR-185544,TL-BE328523,C Spire,5G Overlay,2024-03-08,2024-05-06,2024-08-15,True,True,True,730.68,none,
MOD-825686-2252,CC-TWR-825686,TL-AC9CFB34,AT&T,Cabinet Addition,2024-06-09,2024-08-04,2024-10-01,True,True,True,441.11,none,
MOD-521126-8082,CC-TWR-521126,TL-8985A3D9,AT&T,Equipment Upgrade,2024-11-15,2025-01-12,2025-03-26,True,True,True,293.94,none,
